id,date,user_id,year,usa_boulders,name,climb_type
1102,970956000,69,2000,V6,"The Pedestal",1
1103,969660000,69,2000,V6,"Try again",1
1104,969660000,69,2000,V5,"iron cross",1
1105,969141600,69,2000,V5,"andrew's",1
1106,969141600,69,2000,V5,"Gill Egg",1
1107,968104800,69,2000,V5,?roof-Calvaire,1
1108,954025200,69,2000,V7,"Marrakesh Express",1
1109,942015600,69,1999,V7,"The Hop",1
1110,942015600,69,1999,V6,"$5 traverse",1
1111,950828400,69,2000,V7,"Family Values",1
1112,950828400,69,2000,V6,"?on Harlem boulder",1
1130,957132000,59,2000,V9,"Illustrious Buddha",1
1243,941410800,77,1999,V8,"l'Aérodynamite",1
1244,941410800,77,1999,V8,"elpoussah rallongee",1
1247,946681200,77,2000,V7,"Miss KGB",1
1248,886287600,77,1998,V7,"angle ben",1
1254,957132000,78,2000,V3,"Lounge Fly",1
1368,968450400,73,2000,V10,"The Receptionist",1
1433,961106400,28,2000,V8,Resurrection,1
1435,957736800,28,2000,V4,"Double Dyno",1
1436,957736800,28,2000,V5,"Front highball",1
1437,968104800,28,2000,V3,Unknown,1
1438,957736800,28,2000,V3,"Front Left",1
1439,962402400,85,2000,V10,"Rocket Man",1
1440,962402400,85,2000,V10,"Turbo Guns",1
1441,962402400,85,2000,V9,"Joe Joe Dynamite",1
1442,962402400,85,2000,V9,"tonis dyno",1
1444,944694000,85,1999,V10,"Cave Man",1
1445,962402400,85,2000,V8,?,1
1446,962402400,85,2000,V9,"i want 2 b a pumper",1
1447,962402400,85,2000,V10,"klockwork orange",1
1450,944002800,85,1999,V8,"rave hear",1
1451,944002800,85,1999,V8,"ground control tomaj",1
1483,969746400,89,2000,V5,Fuego,1
1515,970264800,95,2000,V5,Arete?,1
1516,968018400,95,2000,V5,Groundwater,1
1517,966031200,95,2000,V5,"Ament Arete",1
1518,970351200,95,2000,V5,"The Corkscrew",1
1519,959810400,95,2000,V5,"Hagen's Wall",1
1524,961020000,95,2000,V6,"Harlem boulder Prob",1
1526,968882400,95,2000,V5,"Gill Egg",1
1527,947804400,95,2000,V5,"Gill Pinch Roof",1
1528,957132000,95,2000,V5,"Polish Traverse",1
1529,942188400,95,1999,V5,"Goldstone Traverse",1
1530,957477600,95,2000,V5,"Andrew's Boulder",1
1533,962402400,101,2000,V12,"slim shady",1
1534,962402400,101,2000,V12,"picahchu traverse",1
1535,967759200,101,2000,V12,"C&a + the keel",1
1537,946681200,101,2000,V10,"red baron roof",1
1538,946681200,101,2000,V11,"Sale gosse assis",1
1547,962402400,109,2000,V4,Calvary,1
1548,970869600,110,2000,V4,"La Popo",1
1549,961711200,110,2000,V3,"La Coquille",1
1550,961797600,110,2000,V3,"1 black",1
1551,961884000,110,2000,V4,"15b blue",1
1552,961797600,110,2000,V3,"24 black",1
1553,961797600,110,2000,V3,"21 black",1
1554,957218400,110,2000,V3,"20 black",1
1555,961797600,110,2000,V3,"23 black",1
1565,982278000,11,2001,V6,Dalastark,1
1615,994716000,2,2001,V4,Batman,1
1616,930780000,32,1999,V7,"Don't know name",1
1617,967759200,118,2000,V13,"Nuthin but sunshine",1
1619,965080800,118,2000,V11,"Chunk o'blitz",1
1620,965080800,118,2000,V13,"The Automator",1
1621,967759200,118,2000,V12,"The Centaur",1
1622,967759200,118,2000,V12,"European Human Being",1
1623,949359600,118,2000,V11,Chbalanke,1
1624,949359600,118,2000,V11,Cojiba,1
1625,949359600,118,2000,V12,"Diaphanous sea",1
1626,949359600,118,2000,V11,"The feather",1
1627,941320800,118,1999,V10,Blaow,1
1628,972946800,118,2000,V11,"Back at You With Reallness",1
1629,965080800,118,2000,V11,"The kind traverse",1
1630,967759200,118,2000,V11,"Freshly squeezed",1
1631,946681200,118,2000,V11,"Fat lady",1
1632,967759200,118,2000,V11,"Bush Pilot",1
1633,965080800,118,2000,V11,"The gobot",1
1634,949359600,118,2000,V10,"Flying Marcel",1
